name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Bu & Bu Dondurma,,(0216) 422 05 60,"Çengelköy mahallesi Çengelköy caddesi no:42 Üsküdar, 34680 Üsküdar/İstanbul",₺₺,"4,5",214 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–00:00 10:00–00:00 10:00–00:00Saatler değişebilir 10:00–00:00 10:00–00:00 10:00–00:00 10:00–00:00 ,,,,,,Açılmak üzere,
Selamet Dondurma,,(0212) 534 22 44,"Balat, Darüşşafaka caddesi.No:66A Çarşamba (Eski Çarşamba Polis Karakolu Karşısı), 34087 Fatih/İstanbul",₺,"4,6",60 Google yorumu,Dondurma dükkanı,,₺,,09:00–00:00 09:00–00:00 09:00–00:00Saatler değişebilir 09:00–00:00 09:00–00:00 09:00–00:00 09:00–00:00 ,,,,,,Açık,
BALAT ROMA DONDURMA,,0542 899 64 29,"Balat, Ayan Cd. NO 90/A, 34087 Fatih/İstanbul",,"4,2",69 Google yorumu,Dondurma dükkanı,,,,09:00–00:00 09:00–00:00 09:00–00:00Saatler değişebilir 09:00–00:00 09:00–00:00 09:00–00:00 09:00–00:00 ,,,,,,Açık,
Neco Kornet Dondurma,,(0212) 529 11 40,"Silivrikapı, Koca Mustafapaşa Cd. No:220 D:B, 34107 Fatih/İstanbul",₺₺,"4,3",185 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–01:00 10:00–01:00 10:00–01:00 ,,,,,,Açılmak üzere,
Gül Dondurma,,(0216) 550 19 64,"Fenerbahçe Mah, Fener Kalamış Cd. 67/C, 34726 Kadıköy/İstanbul",,"4,5",45 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Bitez Dondurma&waffle,http://www.bitezdondurma.com/,(0212) 574 16 66,"Yeşilköy, Doğru Yol Sk. 5A D:1, 34419 Bakırköy/İstanbul",₺₺,"4,2",139 Google yorumu,Dondurma dükkanı,,₺₺,,11:30–01:30 11:30–01:30 11:30–01:30Saatler değişebilir 11:30–01:30 11:30–01:30 11:30–01:30 11:30–01:30 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caa2fc50a400c9:0x98588288a31da07b?sa=X
Roma Dondurmacısı,http://www.yesilkoyroma.com/subelerimiz.html,(0212) 573 91 92,"Yeşilköy, İstasyon Cad. No:40, 34149 Yeşilköy / Bakırköy/Bakırköy/İstanbul",₺₺,"4,2",268 Google yorumu,Dondurma dükkanı,,₺₺,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–01:00 10:00–01:00 10:00–01:00 ,,,,,,Açılmak üzere,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caa2fcec8e3537:0xf513b4a4f3725296?sa=X
HİDOLİM (Halil İbrahim Dondurma & Limonata),https://hidolim-istanbul-subesi.business.site/?utm_source=gmb&utm_medium=referral,(0216) 318 24 73,"Kirazlıtepe, Orhan Seyfi Orhon Cd. NO:40, 34676 Üsküdar/İstanbul",,"4,6",22 Google yorumu,Üretici,,,,07:30–01:30 07:30–01:30 07:30–01:30Saatler değişebilir 07:30–01:30 07:30–01:30 07:30–01:30 07:30–01:30 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac8305e75c1ff:0x88dadc87c7e0ab0d?sa=X
BiTop Dondurma,http://www.bitop.com.tr/,0530 872 58 53,"Petroliş, Kızılay Blv. 43A, 34862 Kartal/İstanbul",,"4,8",163 Google yorumu,Dondurma dükkanı,,,,12:00–00:00 12:00–00:00 12:00–00:00Saatler değişebilir 12:00–00:00 12:00–00:00 12:00–00:00 12:00–00:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac3821a332c5f:0x95627d95e8d22895?sa=X
Paşam Dondurma,,0532 354 54 28,"Gökalp Mh., 58. Blv, 34020 Zeytinburnu/İstanbul",,"4,4",98 Google yorumu,Dondurma dükkanı,,,,12:00–01:00 12:00–01:00 12:00–01:00Saatler değişebilir 12:00–01:00 12:00–01:00 12:00–01:00 12:00–01:00 ,,,,,,Kapalı,
Yaşar Ustanın Dondurması,,(0212) 293 68 98,"Cihangir, Bakraç Sk. No:9/A, 34433 Beyoğlu/İstanbul",,"4,7",24 Google yorumu,,,,,,,,,,,,
Cremeria Milano,https://www.cremeriamilano.com.tr/,(0216) 368 53 03,"Suadiye, Kazım Özalp Sk. No:30 D:1, 34740 Kadıköy/İstanbul",₺₺₺,"4,4",233 Google yorumu,Dondurma dükkanı,,₺₺₺,,09:00–23:00 09:00–23:00 09:00–23:00Saatler değişebilir 09:00–23:00 09:00–23:00 09:00–23:00 09:00–23:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac70e98b932eb:0x8fc1d8a1b758fefd?sa=X
Yaşar Usta'nın Sorbe Ve Dondurması,,(0216) 680 12 81,"Çengelköy, Çengelköy Cd., 34680 Üsküdar/İstanbul",,"4,3",54 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Azimoğlu Dondurma,,0533 057 99 51,"Atatürk, Estergon Cd. No:13B, 34764 Ümraniye/İstanbul",₺,"4,8",43 Google yorumu,Dondurma dükkanı,,₺,,11:00–02:00 11:00–02:00 11:00–02:00Saatler değişebilir 11:00–02:00 11:00–02:00 11:00–02:00 11:00–02:00 ,,,,,,Kapalı,
Yaşar Ustanın Sorbe Ve Dondurması,,(0212) 533 00 18,"Molla Gürani Mah., Oğuzhan Cad. No:19, 34093 Fatih/İstanbul",,"2,8",4 Google yorumu,Dondurma dükkanı,,,,12:00–00:00 12:00–00:00 12:00–00:00Saatler değişebilir 12:00–00:00 12:00–00:00 12:00–00:00 12:00–00:00 ,,,,,,Kapalı,
Serez Dondurmacısı - Maltepe,http://www.serezdondurmacisi.com/,0850 259 7374,"Altayçeşme, 47, Begonya Sk., 34843 Maltepe/İstanbul",,"4,4",539 Google yorumu,Dondurma dükkanı,,,,12:00–22:30 12:00–22:30 12:00–23:00Saatler değişebilir 12:00–23:00 12:00–23:00 12:00–23:00 12:00–22:30 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac699bfc874a7:0xfddb060471b6e258?sa=X
Cremeria Milano,https://cremeriamilano.com.tr/v1/iletisim/,(0212) 296 84 05,"Harbiye Mah., Maçka Cad. No:16, 34367 Şişli/İstanbul",₺₺₺,"3,9",66 Google yorumu,Dondurma dükkanı,,₺₺₺,,11:00–21:30 11:00–21:30 11:00–21:30Saatler değişebilir 11:00–21:30 11:00–21:30 12:00–21:30 11:00–21:30 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab70b77c32969:0x1cbd67d1a001582c?sa=X
Dondurmacı Yunus Yudo,http://dondurmaciyunus.business.site/,0530 722 06 56,"Zeyrek, Ömer Efendi Sk. No:39, 34083 Fatih/İstanbul",₺₺,"4,1",61 Google yorumu,Dondurma dükkanı,,₺₺,,12:00–01:00 12:00–01:00 12:00–01:00Saatler değişebilir 12:00–01:00 12:00–01:00 12:00–01:00 12:00–01:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab98ac0f56d83:0xe7b9b9c3dcecbd87?sa=X
Dondurmacci,http://www.dondurmacci.com/,(0212) 230 83 73,"Teşvikiye, Şakayık Sk. 11/E, 34365 Şişli/İstanbul",,"4,6",40 Google yorumu,Dondurma dükkanı,,,,11:00–22:30 11:00–22:30 11:00–22:30Saatler değişebilir 11:00–22:30 11:00–22:30 10:00–21:00 11:00–22:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab70bdb0b6991:0x80062f69923ac2a4?sa=X
Yeşilköy Roma Dondurmacısı,https://roma-dondurmacs-cafe.business.site/?utm_source=gmb&utm_medium=referral,(0212) 663 35 42,"Yeşilköy, Kulüp Sk. No:1, 34149 Bakırköy/İstanbul",₺₺,"4,4",1.158 Google yorumu,Kafe,,₺₺,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caa2e3c782e135:0x3057df370c8e52e6?sa=X
K.Maraş Dondurması,,0536 942 88 36,"Mecidiye, Muallim Naci Cd. 16 C, 34347 Beşiktaş/İstanbul",,"3,7",3 Google yorumu,Dondurma dükkanı,,,,09:00–23:00 09:00–23:00 09:00–23:00Saatler değişebilir 09:00–23:00 09:00–23:00 09:00–23:00 09:00–23:00 ,,,,,,Açık,
Tadım Dondurma,,(0212) 586 21 11,"Haseki Sultan, Kızılelma Cd. No:17, 34096 Fatih/İstanbul",,"4,2",110 Google yorumu,Dondurma dükkanı,,,,09:00–00:00 09:00–00:00 09:00–00:00Saatler değişebilir 09:00–00:00 09:00–00:00 09:00–00:00 09:00–00:00 ,,,,,,Açık,
Yaşar Usta'nın Sorbe Ve Dondurması,http://www.yusdo.com/,(0212) 325 38 64,"Konaklar, Akçam Cd No:17 D:F, 34330 Beşiktaş/İstanbul",₺₺,"4,4",402 Google yorumu,Dondurma dükkanı,,₺₺,,11:00–02:00 11:00–02:00 11:00–02:00Saatler değişebilir 11:00–02:00 11:00–02:00 11:00–02:00 11:00–02:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab66547c9257d:0x6617279658c57649?sa=X
Galata Dondurma,,"Cevizlik, Ebuzziya Cd. D:No.21/A, 34142 Bakırköy/İstanbul",,,"4,1",8 Google yorumu,Kafe,,,,,,,,,,,
Hakan Dondurma acıbadem,http://www.facebook.com/hakandondurma1981,(0216) 428 80 81,"Acıbadem mahallesi Acıbadem caddesi no=153/c Üsküdar istanbul, 34660 Üsküdar/İstanbul",,"3,3",47 Google yorumu,Dondurma dükkanı,,,,10:30–00:30 10:30–00:30 10:30–00:30Saatler değişebilir 10:30–00:30 10:30–00:30 10:30–00:30 10:30–00:30 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac7fdfeec9343:0x907d681f224e82c3?sa=X
K. Maraş Dondurması,,(0216) 495 27 25,"Mimar Sinan, Üsküdar Harem Sahil Yolu No:12, 34672 Üsküdar/İstanbul",₺₺,"3,8",23 Google yorumu,Dondurma dükkanı,,₺₺,,08:00–23:30 08:00–23:30 08:00–23:30Saatler değişebilir 08:00–23:30 08:00–23:30 08:00–23:30 08:00–23:30 ,,,,,,Açık,
Luva Dondurma,https://luva-dondurma.business.site/,(0216) 340 21 49,"Koşuyolu, Mehmet Akfan Sokağı No:75, 34718 Kadıköy/İstanbul",,"4,2",82 Google yorumu,Dondurma dükkanı,,,,12:00–02:00 12:00–02:00 12:00–02:00Saatler değişebilir 12:00–02:00 12:00–02:00 12:00–02:00 12:00–02:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cab80596faf5bd:0x58e8e3f8e61c66b1?sa=X
1920 Şehr-i Maraş Dondurması,http://sehrimaras.com/,0533 192 03 46,"Merkezefendi, Panorama 1453 Park İçi Yolu, 34010 Zeytinburnu/İstanbul",,"4,3",6 Google yorumu,Dondurma dükkanı,,,,08:00–20:00 08:00–20:00 08:00–20:00Saatler değişebilir 08:00–20:00 08:00–20:00 08:00–20:00 08:00–20:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caba4fb110144f:0x9ffe2b9fa3ece97?sa=X
Şardan Roma Dondurması,http://sardan.com.tr/,(0212) 601 19 92,"Cennet, Hürriyet Cd. 66/A, 34390 Küçükçekmece/İstanbul",₺₺,"4,4",320 Google yorumu,Dondurma dükkanı,,₺₺,,08:00–01:00 08:00–01:00 08:00–01:00Saatler değişebilir 08:00–01:00 08:00–01:00 08:00–01:00 08:00–01:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14caa3c2e8078d9d:0x79a8766b285d6826?sa=X
Dondurmacı Azimoğlu,,(0216) 318 10 80,"Burhaniye Mah., İsmailağa Sk. 21/B, 34676 Uskudar/Üsküdar/İstanbul",,"4,6",56 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Sarıyer Roma Dondurmacısı,,(0212) 271 57 02,"Merkez, Şht. Mithat Yılmaz Cd. 6/A, 34450 Sarıyer/İstanbul",,"4,4",62 Google yorumu,Dondurma dükkanı,,,,10:00–02:00 10:00–02:00 10:00–02:00Saatler değişebilir 10:00–02:00 10:00–02:00 10:00–02:00 10:00–02:00 ,,,,,,Açılmak üzere,
Dondurmacı Zeynel'in Yeri,https://www.facebook.com/pg/dondurmacizeynelusta/about/,(0216) 675 60 11,"Kozyatağı Mahallesi Kayasultan Sokak Zarbun Sitesi No : 57 / C, 34742 Kadıköy",,"4,8",72 Google yorumu,Dondurma dükkanı,,,,09:00–23:00 09:00–23:00 09:00–23:00Saatler değişebilir 09:00–23:00 09:00–23:00 09:00–23:00 09:00–23:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac6536c648c45:0x8f07f4c1c680d606?sa=X
Güneş Dondurma & Waffle,,(0212) 263 27 70,"Bebek, Cevdet Paşa Cd. No:58, 34342 Beşiktaş/İstanbul",₺₺,"4,5",132 Google yorumu,Dondurma dükkanı,,₺₺,,09:00–03:00 09:00–03:00 09:00–04:00Saatler değişebilir 09:00–04:00 09:00–04:00 09:00–03:00 09:00–03:00 ,,,,,,Açık,
Yaşar Usta Ataşehir,http://www.yusdo.com/,(0216) 456 34 14,"Ataşehir Atatürk, 34758 Ataşehir/İstanbul",,"4,5",93 Google yorumu,Dondurma dükkanı,,,,11:30–02:00 11:30–02:00 11:30–02:00Saatler değişebilir 11:30–02:00 11:30–02:00 11:30–02:00 11:30–02:00 ,,,,,,Kapalı,/maps/dir//Dondurmac%C4%B1lar+%C4%B0stanbul+%C4%B0stanbul/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14cac7c2a6191739:0xc1874f68261260d4?sa=X
