name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
By Waffle Dondurma,https://www.yemeksepeti.com/by-waffle-guzelyali-izmir,(0232) 246 00 70,"Güzelyalı, Mithat Paşa Cad. No:1069/B, 35290 Konak/İzmir",,"4,2",41 Google yorumu,Kafe,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdea82ad24b73:0x103cb8f651c1157?sa=X
Dondurmaking Çeşmenin Meşhur Sakızlı Dondurması,http://www.dondurmaking.com/,0507 734 01 40,"Göksu, 690/7. Sk. 6 A, 35380 Buca/İzmir",₺,"4,4",16 Google yorumu,Dondurma dükkanı,,₺,,08:30–18:00 08:30–18:00 08:30–18:00Saatler değişebilir 08:30–18:00 08:30–18:00 08:30–18:00 08:30–18:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdf11332eaf49:0x27dc53566541a2d7?sa=X
Waffle Lila House Dondurma,,0542 433 43 38,"Donanmacı, Sırrıbey Pasajı, 1725. Sk No:43/A D:P.20, 35580 Karşıyaka/İzmir",,,,Tatlıcı,,,,09:00–21:00 09:00–21:00 09:00–21:00Saatler değişebilir 09:00–21:00 09:00–21:00 09:00–21:00 09:00–21:00 ,,,,,,Açık,
Mennan Pastanesi,,(0232) 483 22 80,"Alsancak, 899. Sk. No:30/A, 35250 Konak/İzmir",,"4,2",169 Google yorumu,Pastane,,,,06:30–20:00 06:30–20:00 06:30–20:00Saatler değişebilir 06:30–20:00 06:30–20:00 Kapalı 06:30–20:00 ,,,,,,Açık,
Sultan Dondurma Ve Baklava,,"Bostanlı, Cemal Gürsel Cd. 77-1 F, 35590 Karşıyaka/İzmir",,,"5,0",5 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Kardo Dondurma & Büfe,,"Örnekköy, 7401. Sk. 12A, 35575 Karşıyaka/İzmir",,₺,"4,4",34 Google yorumu,Büfe,,₺,,11:00–22:00 11:00–22:00 11:00–22:00Saatler değişebilir 11:00–22:00 11:00–22:00 12:00–21:30 11:00–22:00 ,,,,,,Kapalı,
Soft Dondurma Tozu | Fromate,,0546 463 46 41,"Manas Bulvarı, Adalet Mahallesi Bayraklı Mahallesi No:39 Folkart Towers Kat:31 Ofis No:3107-EG, 35530 Bayraklı",,"5,0",3 Google yorumu,Mağaza,,,,09:00–20:00 09:00–20:00 09:00–20:00Saatler değişebilir 09:00–20:00 09:00–20:00 Kapalı 09:00–20:00 ,,,,,,Açık,
Profiterol,,0505 439 45 03,"Basın Sitesi, İnönü Cd. 393/1, 35150 Karabağlar/İzmir",,,,Dondurma dükkanı,,,,10:00–01:00 10:00–01:00 10:00–01:00Saatler değişebilir 10:00–01:00 10:00–01:00 10:00–01:00 10:00–01:00 ,,,,,,Kapalı,
Çirçiroğlu Gaziantep Baklavacısı & Dondurma,,(0232) 427 10 27,"Halkapınar, 1202. Sk. No:148, 35170 Konak/İzmir",,"4,5",20 Google yorumu,Tatlı Dükkanı,,,,07:00–17:00 07:00–17:00 07:00–17:00Saatler değişebilir 07:00–17:00 07:00–15:00 Kapalı 07:00–17:00 ,,,,,,Açık,
Doğal 46,,"Tepekule, Şht. Hakan Uysal Cd. 18A, 35530 Bayraklı/İzmir",,,"4,6",38 Google yorumu,Dondurma dükkanı,,,,10:00–22:00 10:00–22:00 10:00–22:00Saatler değişebilir 10:00–22:00 10:00–22:00 11:00–22:00 10:00–22:00 ,,,,,,Kapalı,
Şirvan Hakiki Dövme Dondurma,,0554 347 21 06,"Balatçık, 8909. Sk. 38 B, 35620 Aosb/Çiğli/İzmir",,"3,9",18 Google yorumu,Dondurma dükkanı,,,,12:00–00:00 12:00–00:00 12:00–00:00Saatler değişebilir 12:00–00:00 12:00–00:00 12:00–00:00 12:00–00:00 ,,,,,,Kapalı,
Sera Dondurma Pasta & Cafe,,(0232) 262 06 04,"Atilla, Eşrefpaşa Cd. D:no 304, 35240 Konak/İzmir",,"3,9",15 Google yorumu,Pastane,,,,06:00–01:00 06:00–01:00 06:00–01:00Saatler değişebilir 06:00–01:00 06:00–01:00 06:00–01:00 06:00–01:00 ,,,,,,Açık,
